SHOP_URL,GOODS_NAME,GOODS_URL,SHOP_NAME,COMPANY_NAME,file_urls,COMPANY_ADDRESS,GOODS_PRICE
https://rate.taobao.com/user-rate-UvFgGMFI0MmNWMgTT.htm,莉莉的风衣女春秋2015新款秋装女式风衣中长款外套鹿皮绒英伦气质,http://detail.tmall.com/item.htm?id=521041155180&skuId=3104897478631&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=1835244006&is_b=1,莉莉的旗舰店,威海迪尚凯尼时装有限公司,http://img.alicdn.com/bao/uploaded/i2/TB1PsjfIVXXXXXDXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"山东省,  威海市",199.00
https://rate.taobao.com/user-rate-UMFI4vCkLvCgy.htm,【预售】秋水伊人2015秋冬装新款女装韩版廓形毛呢外套 呢子大衣,http://detail.tmall.com/item.htm?id=521389399451&skuId=3106557177347&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&standard=1&user_id=528296282&is_b=1,秋水伊人官方旗舰店,,http://img.alicdn.com/bao/uploaded/i2/TB141qZJpXXXXamXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,杭州东塑信息技术有限公司,299.00
http://rate.taobao.com/user-rate-UMGvLMG84vmvb.htm,芙娜妮欧洲站名媛女装2015秋季新款蕾丝拼接包臀修身显瘦连衣裙潮,http://detail.tmall.com/item.htm?id=521253083175&skuId=3105902802168&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=736758035&is_b=1,芙娜妮服饰旗舰店,,http://img.alicdn.com/bao/uploaded/i1/TB1k7XrJXXXXXcGXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,广州合谨企业管理顾问有限公司,139.00
https://rate.taobao.com/user-rate-UMCc4MFg0Om8L.htm,2015秋季新款牛仔裤女夏小脚显瘦韩版大码弹力中腰修身铅笔长裤子,http://detail.tmall.com/item.htm?id=520116763617&skuId=3100551529536&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=678584856&is_b=1,乐誉服饰专营店,,http://img.alicdn.com/bao/uploaded/i3/TB1O25TJpXXXXbSXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,郑州乐誉商贸有限公司,79.00
https://rate.taobao.com/user-rate-UOmI4MCvGvG8G.htm,尚度秋冬膝盖破洞牛仔裤女长裤韩范弹力小脚裤翻边修身显瘦铅笔裤,http://detail.tmall.com/item.htm?id=43945899136&skuId=3106150110323&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=828633353&is_b=1,尚度服饰旗舰店,,http://img.alicdn.com/bao/uploaded/i2/TB1fkVUHpXXXXa0XFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,中山市尚度服饰有限公司,89.00
https://rate.taobao.com/user-rate-UvFNSOFQuvG8WvNTT.htm,2015早秋新款民族风印花短款薄外套棒球服女夹克上衣休闲长袖,http://detail.tmall.com/item.htm?id=521101718956&skuId=3105158889751&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=1099473500&is_b=1,霍莉斯罗旗舰店,,http://img.alicdn.com/bao/uploaded/i3/TB1htYEJXXXXXcfXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,广州艳创服饰有限公司,79.00
https://rate.taobao.com/user-rate-UMGcYvGkSvCI0.htm,自蓝红纯棉条纹t恤女夏装一字领韩版大码修身显瘦打底衫女t恤中袖,http://detail.tmall.com/item.htm?id=45566871100&skuId=3104427499517&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=771399224&is_b=1,自蓝红旗舰店,,http://img.alicdn.com/bao/uploaded/i4/TB1ZkWeIVXXXXcTXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,厦门自然红服饰有限公司,56.90
https://rate.taobao.com/user-rate-UvCIbOFQSOF8uMQTT.htm,2015fivetozero秋季女士新宽松韩版显瘦翻领口袋纯色雪纺衬衣衬衫,http://detail.tmall.com/item.htm?id=44600951982&skuId=98936984346&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=2259499575&is_b=1,fivetozero女装旗舰店,苏州妍贻贝服饰有限公司,http://img.alicdn.com/bao/uploaded/i3/TB1W.sGHpXXXXc9XpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"江苏省,  苏州市",69.00
https://rate.taobao.com/user-rate-UOmcWvGNWMF8G.htm,2015秋季新款欧美卡通刺绣短外套夹克棒球服女长袖开衫休闲小外套,http://detail.tmall.com/item.htm?id=41026612061&skuId=63872646598&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=870300553&is_b=1,obanner服饰旗舰店,,http://img.alicdn.com/bao/uploaded/i2/TB1irIqJXXXXXauXVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,云南奥邦奴服饰有限公司广州分公司,168.00
https://rate.taobao.com/user-rate-UvCHGvCkbvFI4OQTT.htm,中老年女装秋装修身长袖妈妈装上衣40-50中年妇女开衫外套春秋季,http://detail.tmall.com/item.htm?id=520851607802&skuId=3104017340382&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=2132951289&is_b=1,苏米唐旗舰店,嘉兴雨果服饰有限公司,http://img.alicdn.com/bao/uploaded/i2/TB1gEMxIXXXXXb.XVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"浙江省,  嘉兴市",98.00
